cost_component|var_pop|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|def01_00#inc_2011_2015|41886196869|377093.62466|36380804588|377093.62466|111076.38562|96476.848743
secondary_sector|def01_00#inc_2016_2021|40518746761|443542.91507|34615177230|443542.91507|91352.483344|78042.453287
secondary_sector|def01_00#prev_2015|35825227033|1082157.1945|21130244067|1082157.1945|33105.381745|19526.039446
secondary_sector|def01_00#prev_2016|36113543162|1113675.8137|21227284360|1113675.8137|32427.339014|19060.559724
secondary_sector|def01_00#prev_2017|38447813352|1143424.6438|21934997223|1143424.6438|33625.13967|19183.596699
secondary_sector|def01_00#prev_2018|29838517533|1173318.3836|17738346967|1173318.3836|25430.878738|15118.101971
secondary_sector|def01_00#prev_2019|33867519732|1200604.2904|19387042644|1200604.2904|28208.72789|16147.737267
secondary_sector|def01_00#prev_2020|35934507675|1222118.2274|20472910819|1222118.2274|29403.462667|16751.988769
secondary_sector|def01_00#prev_2021|36160298713|1237706.5479|20594423824|1237706.5479|29215.567109|16639.181442
secondary_sector|def01_01#inc_2011_2015|5683525419.9|34809.830137|5034809711.2|34809.830137|163273.57524|144637.58345
secondary_sector|def01_01#inc_2016_2021|4369425933.6|29725.890411|3845835549.5|29725.890411|146990.58206|129376.63082
secondary_sector|def01_01#prev_2015|6088637058.6|98923.978082|4245804925|98923.978082|61548.647523|42919.876528
secondary_sector|def01_01#prev_2016|6069679258.1|99104.00274|4228608407.8|99104.00274|61245.551041|42668.391699
secondary_sector|def01_01#prev_2017|6180091345.5|98695.89863|4186935599.8|98695.89863|62617.509251|42422.58957
secondary_sector|def01_01#prev_2018|5203916571.7|97362.660274|3797172563.9|97362.660274|53448.79194|39000.295937
secondary_sector|def01_01#prev_2019|5465987885.1|95682.663014|3834982350.8|95682.663014|57126.209837|40080.221746
secondary_sector|def01_01#prev_2020|5558724956.5|93607.956164|3854890779.3|93607.956164|59383.039479|41181.230072
secondary_sector|def01_01#prev_2021|5367348716.8|91210.715068|3714120236.6|91210.715068|58845.594103|40720.218384
secondary_sector|def01_02#inc_2011_2015|6453552840.4|48310.646575|5772038878.9|48310.646575|133584.48495|119477.57457
secondary_sector|def01_02#inc_2016_2021|5295574238.2|55181.652055|4612320235.4|55181.652055|95966.21415|83584.308618
secondary_sector|def01_02#prev_2015|4320125348.9|96817.890411|2900365992.6|96817.890411|44621.147296|29956.922014
secondary_sector|def01_02#prev_2016|4484809187.3|104551.53151|2999444079.1|104551.53151|42895.681418|28688.66707
secondary_sector|def01_02#prev_2017|4837351705.7|111364.73699|3130687343.4|111364.73699|43437.014594|28112.016677
secondary_sector|def01_02#prev_2018|4019804863.5|118208.54247|2727336746|118208.54247|34006.043723|23072.24748
secondary_sector|def01_02#prev_2019|4519673137.4|123878.49315|2947163761.1|123878.49315|36484.728079|23790.76211
secondary_sector|def01_02#prev_2020|4776067360.5|128409.48219|3067665997.3|128409.48219|37194.039559|23889.715502
secondary_sector|def01_02#prev_2021|4891506641.7|132795.84384|3136746369|132795.84384|36834.787147|23620.817327
secondary_sector|def01_03#inc_2011_2015|2172879125.5|9794.9315068|2021294060.8|9794.9315068|221837.09238|206361.22462
secondary_sector|def01_03#inc_2016_2021|1542513026.9|9664.0493151|1409005040.8|9664.0493151|159613.53017|145798.61866
secondary_sector|def01_03#prev_2015|1899421848.4|23232.446575|1474760443.3|23232.446575|81757.288979|63478.482069
secondary_sector|def01_03#prev_2016|1908502062.6|24260.512329|1473407404.9|24260.512329|78667.013982|60732.740718
secondary_sector|def01_03#prev_2017|1899214115.4|25121.126027|1415103202.5|25121.126027|75602.268518|56331.201116
secondary_sector|def01_03#prev_2018|1593961064.9|25890.969863|1236032243.6|25890.969863|61564.362915|47739.897352
secondary_sector|def01_03#prev_2019|1731933120.1|26566.076712|1309179560.8|26566.076712|65193.409581|49280.124235
secondary_sector|def01_03#prev_2020|1822677952.5|27251.961644|1372274705.4|27251.961644|66882.449649|50355.079877
secondary_sector|def01_03#prev_2021|1793971805.8|27816.150685|1341226761.5|27816.150685|64493.891558|48217.554494
secondary_sector|def01_04#inc_2011_2015|3075603626.2|8296.2054795|2887624907.7|8296.2054795|370724.13814|348065.74099
secondary_sector|def01_04#inc_2016_2021|3519484105|11397.854795|3273859038.4|11397.854795|308784.78174|287234.66805
secondary_sector|def01_04#prev_2015|882940150.62|14754.484932|546073129.62|14754.484932|59842.153401|37010.653517
secondary_sector|def01_04#prev_2016|920744995.63|15378.991781|576177949.2|15378.991781|59870.309364|37465.261534
secondary_sector|def01_04#prev_2017|1004332414.1|16220.682192|614482026.71|16220.682192|61916.780207|37882.62537
secondary_sector|def01_04#prev_2018|725508933.53|16912.410959|427696862.94|16912.410959|42898.019407|25288.935089
secondary_sector|def01_04#prev_2019|893421897.88|17604.830137|529132421.84|17604.830137|50748.680386|30056.093567
secondary_sector|def01_04#prev_2020|964046377.27|18422.553425|567050873.57|18422.553425|52329.682811|30780.253991
secondary_sector|def01_04#prev_2021|1015699717.9|19063.383562|599454911.5|19063.383562|53280.138574|31445.357513
secondary_sector|def01_05#inc_2011_2015|291685883.13|2232.3589041|265914461.62|2232.3589041|130662.62893|119118.14947
secondary_sector|def01_05#inc_2016_2021|200616816.39|2039.9452055|176937838.57|2039.9452055|98344.218195|86736.56434
secondary_sector|def01_05#prev_2015|349033704.29|9233.6931507|250277308.63|9233.6931507|37800.011176|27104.789443
secondary_sector|def01_05#prev_2016|364478266.37|9300.9232877|269311912.15|9300.9232877|39187.320989|28955.395482
secondary_sector|def01_05#prev_2017|373556042.81|9367.2054795|267217158.79|9367.2054795|39879.134031|28526.881297
secondary_sector|def01_05#prev_2018|262191153.76|9423.890411|185124804.33|9423.890411|27821.965486|19644.201732
secondary_sector|def01_05#prev_2019|302475292.01|9400.7589041|212182714.79|9400.7589041|32175.624872|22570.806991
secondary_sector|def01_05#prev_2020|283814474.41|9337.4739726|189017320.17|9337.4739726|30395.209158|20242.875185
secondary_sector|def01_05#prev_2021|295915156.69|9281.1863014|201680722.38|9281.1863014|31883.333346|21730.058618
secondary_sector|def01_06#inc_2011_2015|3933599671|38147.40274|2534800721.3|38147.40274|103115.79265|66447.530874
secondary_sector|def01_06#inc_2016_2021|3188329868.3|43030.920548|1747057826.6|43030.920548|74093.926593|40600.05699
secondary_sector|def01_06#prev_2015|1620076707.8|36634.435616|359581478.5|36634.435616|44222.783307|9815.3956093
secondary_sector|def01_06#prev_2016|1608296566.7|37099.035616|332736786.86|37099.035616|43351.438655|8968.8796846
secondary_sector|def01_06#prev_2017|1610381567.2|37522.186301|252961754.04|37522.186301|42918.116612|6741.6581754
secondary_sector|def01_06#prev_2018|1377612402.8|37345.69589|336924091.46|37345.69589|36888.11709|9021.7649832
secondary_sector|def01_06#prev_2019|1283579254.7|36762.665753|119350886.69|36762.665753|34915.293231|3246.5242726
secondary_sector|def01_06#prev_2020|1337727624.8|36072.835616|139410618.3|36072.835616|37084.071766|3864.6980731
secondary_sector|def01_06#prev_2021|1252512069.7|34932.131507|106176580.18|34932.131507|35855.586695|3039.5104908
secondary_sector|def01_07#inc_2011_2015|11621890382|75643.712329|10308371362|75643.712329|153639.87335|136275.32342
secondary_sector|def01_07#inc_2016_2021|8305924057|70476.030137|7264014478.6|70476.030137|117854.59596|103070.7102
secondary_sector|def01_07#prev_2015|8663860841|179295.04384|5563862136.1|179295.04384|48321.808878|31031.87917
secondary_sector|def01_07#prev_2016|8634104005.9|186652.68767|5478455331.3|186652.68767|46257.592717|29351.065874
secondary_sector|def01_07#prev_2017|9083546803.3|192617.00274|5589467427.8|192617.00274|47158.592825|29018.556764
secondary_sector|def01_07#prev_2018|7329752131.3|197881.56164|4789437064.6|197881.56164|37041.107167|24203.554009
secondary_sector|def01_07#prev_2019|7860639099.7|202294.41644|4836495511.5|202294.41644|38857.419983|23908.200714
