var_pop|concurrent_disease|conc_dis_percent
def01_00#inc_2011_2015|cci_1|2
def01_00#inc_2011_2015|cci_10|4.3
def01_00#inc_2011_2015|cci_11|0.2
def01_00#inc_2011_2015|cci_12|1.7
def01_00#inc_2011_2015|cci_13|2.2
def01_00#inc_2011_2015|cci_14|6.9
def01_00#inc_2011_2015|cci_15|0.3
def01_00#inc_2011_2015|cci_16|0.5
def01_00#inc_2011_2015|cci_17|0.2
def01_00#inc_2011_2015|cci_18|1.2
def01_00#inc_2011_2015|cci_19|0.1
def01_00#inc_2011_2015|cci_2|2.6
def01_00#inc_2011_2015|cci_3|2
def01_00#inc_2011_2015|cci_4|2.7
def01_00#inc_2011_2015|cci_5|0
def01_00#inc_2011_2015|cci_6|6.5
def01_00#inc_2011_2015|cci_7|2.2
def01_00#inc_2011_2015|cci_8|1.4
def01_00#inc_2011_2015|cci_9|0.5
def01_00#inc_2011_2015|def01_00|100
def01_00#inc_2011_2015|def01_01|5.3
def01_00#inc_2011_2015|def01_02|6.9
def01_00#inc_2011_2015|def01_03|0.7
def01_00#inc_2011_2015|def01_04|1.7
def01_00#inc_2011_2015|def01_05|0.3
def01_00#inc_2011_2015|def01_06|6.4
def01_00#inc_2011_2015|def01_07|10.7
def01_00#inc_2011_2015|def01_08|8.3
def01_00#inc_2011_2015|def01_09|1.8
def01_00#inc_2011_2015|def01_10|1
def01_00#inc_2011_2015|def01_11|2.7
def01_00#inc_2011_2015|def01_12|6.8
def01_00#inc_2011_2015|def01_13|1.7
def01_00#inc_2011_2015|def01_14|1
def01_00#inc_2011_2015|def01_15|0.7
def01_00#inc_2011_2015|def01_16|0.6
def01_00#inc_2011_2015|def01_17|0.2
def01_00#inc_2011_2015|def01_18|1.2
def01_00#inc_2011_2015|def01_19|1.6
def01_00#inc_2011_2015|def01_20|3.1
def01_00#inc_2011_2015|def01_21|1.7
def01_00#inc_2011_2015|def01_22|7.5
def01_00#inc_2011_2015|def01_23|12
def01_00#inc_2011_2015|def01_24|12.1
def01_00#inc_2011_2015|def01_25|11.9
def01_00#inc_2016_2021|cci_1|1.7
def01_00#inc_2016_2021|cci_10|3.9
def01_00#inc_2016_2021|cci_11|0.1
def01_00#inc_2016_2021|cci_12|2
def01_00#inc_2016_2021|cci_13|2.2
def01_00#inc_2016_2021|cci_14|7.1
def01_00#inc_2016_2021|cci_15|0.3
def01_00#inc_2016_2021|cci_16|0.5
def01_00#inc_2016_2021|cci_17|0.2
def01_00#inc_2016_2021|cci_18|0.8
def01_00#inc_2016_2021|cci_19|0.1
def01_00#inc_2016_2021|cci_2|2.3
def01_00#inc_2016_2021|cci_3|1.7
def01_00#inc_2016_2021|cci_4|2.6
def01_00#inc_2016_2021|cci_5|0
def01_00#inc_2016_2021|cci_6|6.4
def01_00#inc_2016_2021|cci_7|2.4
def01_00#inc_2016_2021|cci_8|0.9
def01_00#inc_2016_2021|cci_9|0.5
def01_00#inc_2016_2021|def01_00|100
def01_00#inc_2016_2021|def01_01|3.8
def01_00#inc_2016_2021|def01_02|6.4
def01_00#inc_2016_2021|def01_03|0.7
def01_00#inc_2016_2021|def01_04|1.9
def01_00#inc_2016_2021|def01_05|0.3
def01_00#inc_2016_2021|def01_06|6.1
def01_00#inc_2016_2021|def01_07|8.3
def01_00#inc_2016_2021|def01_08|9.5
def01_00#inc_2016_2021|def01_09|1.7
def01_00#inc_2016_2021|def01_10|0.9
def01_00#inc_2016_2021|def01_11|2.3
def01_00#inc_2016_2021|def01_12|7.4
def01_00#inc_2016_2021|def01_13|2.1
def01_00#inc_2016_2021|def01_14|0.8
def01_00#inc_2016_2021|def01_15|0.7
def01_00#inc_2016_2021|def01_16|0.5
def01_00#inc_2016_2021|def01_17|0.3
def01_00#inc_2016_2021|def01_18|1.2
def01_00#inc_2016_2021|def01_19|1
def01_00#inc_2016_2021|def01_20|3.2
def01_00#inc_2016_2021|def01_21|1.7
def01_00#inc_2016_2021|def01_22|8.9
def01_00#inc_2016_2021|def01_23|12
def01_00#inc_2016_2021|def01_24|12.9
def01_00#inc_2016_2021|def01_25|11.7
def01_00#prev_2015|cci_1|1.7
def01_00#prev_2015|cci_10|5.2
def01_00#prev_2015|cci_11|0.6
def01_00#prev_2015|cci_12|1.8
def01_00#prev_2015|cci_13|2.6
def01_00#prev_2015|cci_14|5.1
def01_00#prev_2015|cci_15|0.2
def01_00#prev_2015|cci_16|0.4
def01_00#prev_2015|cci_17|0.5
def01_00#prev_2015|cci_18|0.5
def01_00#prev_2015|cci_19|0.2
def01_00#prev_2015|cci_2|2.2
def01_00#prev_2015|cci_3|2.7
def01_00#prev_2015|cci_4|10.4
def01_00#prev_2015|cci_5|3.3
def01_00#prev_2015|cci_6|6.9
def01_00#prev_2015|cci_7|2.3
def01_00#prev_2015|cci_8|1.7
def01_00#prev_2015|cci_9|1.7
def01_00#prev_2015|def01_00|100
def01_00#prev_2015|def01_01|9.2
def01_00#prev_2015|def01_02|8.9
def01_00#prev_2015|def01_03|2.1
