model|var_def|population|Parameter|Estimate|LowerCL|UpperCL
no_cci#all|def01|prev_2015|Intercept|0.056422381|0.054093284|0.058751477
no_cci#all|def01|prev_2015|def01_01  1|0.293609825|0.288708149|0.298511501
no_cci#all|def01|prev_2015|def01_01  0|0.000000000||
no_cci#all|def01|prev_2015|def01_02  1|0.121737838|0.117267187|0.126208489
no_cci#all|def01|prev_2015|def01_02  0|0.000000000||
no_cci#all|def01|prev_2015|def01_03  1|0.316335340|0.306963075|0.325707604
no_cci#all|def01|prev_2015|def01_03  0|0.000000000||
no_cci#all|def01|prev_2015|def01_04  1|0.275138222|0.265354058|0.284922386
no_cci#all|def01|prev_2015|def01_04  0|0.000000000||
no_cci#all|def01|prev_2015|def01_05  1|0.386981473|0.370274920|0.403688025
no_cci#all|def01|prev_2015|def01_05  0|0.000000000||
no_cci#all|def01|prev_2015|def01_06  1|0.867505951|0.861781677|0.873230225
no_cci#all|def01|prev_2015|def01_06  0|0.000000000||
no_cci#all|def01|prev_2015|def01_07  1|0.203546486|0.199810785|0.207282187
no_cci#all|def01|prev_2015|def01_07  0|0.000000000||
no_cci#all|def01|prev_2015|def01_08  1|0.033540657|0.029219519|0.037861795
no_cci#all|def01|prev_2015|def01_08  0|0.000000000||
no_cci#all|def01|prev_2015|def01_09  1|0.185099881|0.178339319|0.191860443
no_cci#all|def01|prev_2015|def01_09  0|0.000000000||
no_cci#all|def01|prev_2015|def01_10  1|0.305948149|0.294863141|0.317033157
no_cci#all|def01|prev_2015|def01_10  0|0.000000000||
no_cci#all|def01|prev_2015|def01_11  1|0.322140814|0.316485887|0.327795741
no_cci#all|def01|prev_2015|def01_11  0|0.000000000||
no_cci#all|def01|prev_2015|def01_12  1|0.055624736|0.051229208|0.060020264
no_cci#all|def01|prev_2015|def01_12  0|0.000000000||
no_cci#all|def01|prev_2015|def01_13  1|0.140060524|0.131662153|0.148458895
no_cci#all|def01|prev_2015|def01_13  0|0.000000000||
no_cci#all|def01|prev_2015|def01_14  1|0.175337028|0.165952235|0.184721820
no_cci#all|def01|prev_2015|def01_14  0|0.000000000||
no_cci#all|def01|prev_2015|def01_15  1|0.572978049|0.560984433|0.584971665
no_cci#all|def01|prev_2015|def01_15  0|0.000000000||
no_cci#all|def01|prev_2015|def01_16  1|0.340229248|0.324122954|0.356335542
no_cci#all|def01|prev_2015|def01_16  0|0.000000000||
no_cci#all|def01|prev_2015|def01_17  1|0.548386829|0.524259094|0.572514565
no_cci#all|def01|prev_2015|def01_17  0|0.000000000||
no_cci#all|def01|prev_2015|def01_18  1|0.580360301|0.568556342|0.592164260
no_cci#all|def01|prev_2015|def01_18  0|0.000000000||
no_cci#all|def01|prev_2015|def01_19  1|0.091705111|0.085619797|0.097790426
no_cci#all|def01|prev_2015|def01_19  0|0.000000000||
no_cci#all|def01|prev_2015|def01_20  1|0.313990109|0.307127581|0.320852637
no_cci#all|def01|prev_2015|def01_20  0|0.000000000||
no_cci#all|def01|prev_2015|def01_21  1|0.580406034|0.574252817|0.586559252
no_cci#all|def01|prev_2015|def01_21  0|0.000000000||
no_cci#all|def01|prev_2015|def01_22  1|0.105065917|0.100539030|0.109592805
no_cci#all|def01|prev_2015|def01_22  0|0.000000000||
no_cci#all|def01|prev_2015|def01_23  1|0.058743677|0.055260933|0.062226422
no_cci#all|def01|prev_2015|def01_23  0|0.000000000||
no_cci#all|def01|prev_2015|def01_24  1|0.337871611|0.334002833|0.341740389
no_cci#all|def01|prev_2015|def01_24  0|0.000000000||
no_cci#all|def01|prev_2015|def01_25  1|0.061892741|0.058801918|0.064983565
no_cci#all|def01|prev_2015|def01_25  0|0.000000000||
no_cci#all|def01|prev_2015|male      1|-0.030976603|-0.032453173|-0.029500034
no_cci#all|def01|prev_2015|male      0|0.000000000||
no_cci#all|def01|prev_2015|age_g     1|-0.007789032|-0.010810778|-0.004767287
no_cci#all|def01|prev_2015|age_g     2|0.008436860|0.005440111|0.011433610
no_cci#all|def01|prev_2015|age_g     3|0.027133222|0.024082423|0.030184021
no_cci#all|def01|prev_2015|age_g     4|0.036441063|0.033497786|0.039384340
no_cci#all|def01|prev_2015|age_g     5|0.087548102|0.084548489|0.090547716
no_cci#all|def01|prev_2015|age_g     6|0.190774914|0.187700411|0.193849418
no_cci#all|def01|prev_2015|age_g     7|0.347327354|0.343862418|0.350792290
no_cci#all|def01|prev_2015|age_g     8|0.801694222|0.797003716|0.806384728
no_cci#all|def01|prev_2015|age_g     9|1.838580851|1.829789097|1.847372606
no_cci#all|def01|prev_2015|age_g     0|0.000000000||
