start|label|fmtname|type
1|def01_00#inc_2011_2015|var_pop|n
2|def01_00#inc_2016_2021|var_pop|n
3|def01_00#prev_2015|var_pop|n
4|def01_00#prev_2016|var_pop|n
5|def01_00#prev_2017|var_pop|n
6|def01_00#prev_2018|var_pop|n
7|def01_00#prev_2019|var_pop|n
8|def01_00#prev_2020|var_pop|n
9|def01_00#prev_2021|var_pop|n
10|def01_01#inc_2011_2015|var_pop|n
11|def01_01#inc_2016_2021|var_pop|n
12|def01_01#prev_2015|var_pop|n
13|def01_01#prev_2016|var_pop|n
14|def01_01#prev_2017|var_pop|n
15|def01_01#prev_2018|var_pop|n
16|def01_01#prev_2019|var_pop|n
17|def01_01#prev_2020|var_pop|n
18|def01_01#prev_2021|var_pop|n
19|def01_02#inc_2011_2015|var_pop|n
20|def01_02#inc_2016_2021|var_pop|n
21|def01_02#prev_2015|var_pop|n
22|def01_02#prev_2016|var_pop|n
23|def01_02#prev_2017|var_pop|n
24|def01_02#prev_2018|var_pop|n
25|def01_02#prev_2019|var_pop|n
26|def01_02#prev_2020|var_pop|n
27|def01_02#prev_2021|var_pop|n
28|def01_03#inc_2011_2015|var_pop|n
29|def01_03#inc_2016_2021|var_pop|n
30|def01_03#prev_2015|var_pop|n
31|def01_03#prev_2016|var_pop|n
32|def01_03#prev_2017|var_pop|n
33|def01_03#prev_2018|var_pop|n
34|def01_03#prev_2019|var_pop|n
35|def01_03#prev_2020|var_pop|n
36|def01_03#prev_2021|var_pop|n
37|def01_04#inc_2011_2015|var_pop|n
38|def01_04#inc_2016_2021|var_pop|n
39|def01_04#prev_2015|var_pop|n
40|def01_04#prev_2016|var_pop|n
41|def01_04#prev_2017|var_pop|n
42|def01_04#prev_2018|var_pop|n
43|def01_04#prev_2019|var_pop|n
44|def01_04#prev_2020|var_pop|n
45|def01_04#prev_2021|var_pop|n
46|def01_05#inc_2011_2015|var_pop|n
47|def01_05#inc_2016_2021|var_pop|n
48|def01_05#prev_2015|var_pop|n
49|def01_05#prev_2016|var_pop|n
50|def01_05#prev_2017|var_pop|n
51|def01_05#prev_2018|var_pop|n
52|def01_05#prev_2019|var_pop|n
