__stat_char|__label|__var|var_pop|__stat_num2|__stat_num3|__stat_num1
399,064 (100.0)|__n|__n|def01_00#inc_2011_2015|100||399064
197,809 (49.6)|male|male|def01_00#inc_2011_2015|49.5682396808532||197809
|cci_g: title|cci_g|def01_00#inc_2011_2015|||
24,281 (6.1)|cci_g: +3|cci_g|def01_00#inc_2011_2015|6.08448770122085||24281
303,420 (76.0)|cci_g: 0|cci_g|def01_00#inc_2011_2015|76.0329170258404||303420
71,363 (17.9)|cci_g: 1-2|cci_g|def01_00#inc_2011_2015|17.8825952729386||71363
46.9 (22.0;68.5)|age_index|age_index|def01_00#inc_2011_2015|21.98|68.47|46.92
465,256 (100.0)|__n|__n|def01_00#inc_2016_2021|100||465256
230,943 (49.6)|male|male|def01_00#inc_2016_2021|49.637833794728||230943
|cci_g: title|cci_g|def01_00#inc_2016_2021|||
26,473 (5.7)|cci_g: +3|cci_g|def01_00#inc_2016_2021|5.68998572828722||26473
355,602 (76.4)|cci_g: 0|cci_g|def01_00#inc_2016_2021|76.431469986416||355602
83,181 (17.9)|cci_g: 1-2|cci_g|def01_00#inc_2016_2021|17.8785442852967||83181
47.6 (21.7;70.1)|age_index|age_index|def01_00#inc_2016_2021|21.66|70.05|47.61
1,096,396 (100.0)|__n|__n|def01_00#prev_2015|100||1096396
549,593 (50.1)|male|male|def01_00#prev_2015|50.1272350501096||549593
|cci_g: title|cci_g|def01_00#prev_2015|||
82,522 (7.5)|cci_g: +3|cci_g|def01_00#prev_2015|7.52666007537422||82522
765,466 (69.8)|cci_g: 0|cci_g|def01_00#prev_2015|69.8165626288312||765466
248,408 (22.7)|cci_g: 1-2|cci_g|def01_00#prev_2015|22.6567772957945||248408
46.1 (27.6;63.6)|age_index|age_index|def01_00#prev_2015|27.63|63.59|46.14
1,128,158 (100.0)|__n|__n|def01_00#prev_2016|100||1128158
564,622 (50.0)|male|male|def01_00#prev_2016|50.0481315560409||564622
|cci_g: title|cci_g|def01_00#prev_2016|||
86,363 (7.7)|cci_g: +3|cci_g|def01_00#prev_2016|7.65522205223027||86363
785,756 (69.6)|cci_g: 0|cci_g|def01_00#prev_2016|69.6494639935186||785756
256,039 (22.7)|cci_g: 1-2|cci_g|def01_00#prev_2016|22.695313954251||256039
46.3 (27.7;63.7)|age_index|age_index|def01_00#prev_2016|27.68|63.74|46.29
1,158,327 (100.0)|__n|__n|def01_00#prev_2017|100||1158327
579,114 (50.0)|male|male|def01_00#prev_2017|49.9957265953396||579114
|cci_g: title|cci_g|def01_00#prev_2017|||
90,203 (7.8)|cci_g: +3|cci_g|def01_00#prev_2017|7.78735193084509||90203
804,379 (69.4)|cci_g: 0|cci_g|def01_00#prev_2017|69.443171056187||804379
263,745 (22.8)|cci_g: 1-2|cci_g|def01_00#prev_2017|22.7694770129678||263745
46.5 (27.8;63.9)|age_index|age_index|def01_00#prev_2017|27.8|63.94|46.47
1,189,102 (100.0)|__n|__n|def01_00#prev_2018|100||1189102
593,858 (49.9)|male|male|def01_00#prev_2018|49.9417207270696||593858
|cci_g: title|cci_g|def01_00#prev_2018|||
93,516 (7.9)|cci_g: +3|cci_g|def01_00#prev_2018|7.86442205967192||93516
824,504 (69.3)|cci_g: 0|cci_g|def01_00#prev_2018|69.3383746726521||824504
271,082 (22.8)|cci_g: 1-2|cci_g|def01_00#prev_2018|22.7972032676759||271082
46.6 (27.9;64.1)|age_index|age_index|def01_00#prev_2018|27.91|64.11|46.61
1,215,837 (100.0)|__n|__n|def01_00#prev_2019|100||1215837
606,734 (49.9)|male|male|def01_00#prev_2019|49.9025774014115||606734
|cci_g: title|cci_g|def01_00#prev_2019|||
94,607 (7.8)|cci_g: +3|cci_g|def01_00#prev_2019|7.78122396340957||94607
845,580 (69.5)|cci_g: 0|cci_g|def01_00#prev_2019|69.5471514684945||845580
275,650 (22.7)|cci_g: 1-2|cci_g|def01_00#prev_2019|22.6716245680958||275650
46.8 (28.1;64.3)|age_index|age_index|def01_00#prev_2019|28.09|64.26|46.8
1,236,878 (100.0)|__n|__n|def01_00#prev_2020|100||1236878
616,883 (49.9)|male|male|def01_00#prev_2020|49.8741993955749||616883
|cci_g: title|cci_g|def01_00#prev_2020|||
95,452 (7.7)|cci_g: +3|cci_g|def01_00#prev_2020|7.71717178250401||95452
861,695 (69.7)|cci_g: 0|cci_g|def01_00#prev_2020|69.6669356234002||861695
279,731 (22.6)|cci_g: 1-2|cci_g|def01_00#prev_2020|22.6158925940957||279731
47.0 (28.3;64.5)|age_index|age_index|def01_00#prev_2020|28.29|64.47|47.01
1,253,321 (100.0)|__n|__n|def01_00#prev_2021|100||1253321
623,843 (49.8)|male|male|def01_00#prev_2021|49.7751972559304||623843
|cci_g: title|cci_g|def01_00#prev_2021|||
95,948 (7.7)|cci_g: +3|cci_g|def01_00#prev_2021|7.65550086530106||95948
874,220 (69.8)|cci_g: 0|cci_g|def01_00#prev_2021|69.7522821368189||874220
283,153 (22.6)|cci_g: 1-2|cci_g|def01_00#prev_2021|22.59221699788||283153
