var_pop|n_diag|risk_time
def01_00#inc_2011_2015|399064|28342798.599
def01_00#inc_2016_2021|465256|34954381.237
def01_00#prev_2015|1096530|5705540.0957
def01_00#prev_2016|1128297|5762508.4188
def01_00#prev_2017|1158443|5782168.6104
def01_00#prev_2018|1189228|5809192.1012
def01_00#prev_2019|1215960|5829199.3976
def01_00#prev_2020|1236961|5861552.3778
def01_00#prev_2021|1253399|5856665.5851
def01_01#inc_2011_2015|37402|28342798.599
def01_01#inc_2016_2021|32103|34954381.237
def01_01#prev_2015|101318|5705540.0957
def01_01#prev_2016|101636|5762508.4188
def01_01#prev_2017|101265|5782168.6104
def01_01#prev_2018|100003|5809192.1012
def01_01#prev_2019|98227|5829199.3976
def01_01#prev_2020|96009|5861552.3778
def01_01#prev_2021|93710|5856665.5851
def01_02#inc_2011_2015|54013|28342798.599
def01_02#inc_2016_2021|59389|34954381.237
def01_02#prev_2015|97734|5705540.0957
def01_02#prev_2016|105592|5762508.4188
def01_02#prev_2017|112507|5782168.6104
def01_02#prev_2018|119340|5809192.1012
def01_02#prev_2019|124921|5829199.3976
def01_02#prev_2020|129338|5861552.3778
def01_02#prev_2021|133733|5856665.5851
def01_03#inc_2011_2015|9977|28342798.599
def01_03#inc_2016_2021|9811|34954381.237
def01_03#prev_2015|23556|5705540.0957
def01_03#prev_2016|24602|5762508.4188
def01_03#prev_2017|25454|5782168.6104
def01_03#prev_2018|26227|5809192.1012
def01_03#prev_2019|26897|5829199.3976
def01_03#prev_2020|27604|5861552.3778
def01_03#prev_2021|28154|5856665.5851
def01_04#inc_2011_2015|9739|28342798.599
def01_04#inc_2016_2021|13152|34954381.237
def01_04#prev_2015|15212|5705540.0957
def01_04#prev_2016|15828|5762508.4188
def01_04#prev_2017|16702|5782168.6104
def01_04#prev_2018|17420|5809192.1012
def01_04#prev_2019|18110|5829199.3976
def01_04#prev_2020|18927|5861552.3778
def01_04#prev_2021|19592|5856665.5851
def01_05#inc_2011_2015|2333|28342798.599
def01_05#inc_2016_2021|2143|34954381.237
def01_05#prev_2015|9308|5705540.0957
def01_05#prev_2016|9378|5762508.4188
def01_05#prev_2017|9442|5782168.6104
def01_05#prev_2018|9501|5809192.1012
def01_05#prev_2019|9485|5829199.3976
def01_05#prev_2020|9403|5861552.3778
def01_05#prev_2021|9351|5856665.5851
def01_06#inc_2011_2015|43711|28342798.599
def01_06#inc_2016_2021|47870|34954381.237
def01_06#prev_2015|40536|5705540.0957
def01_06#prev_2016|41076|5762508.4188
def01_06#prev_2017|41484|5782168.6104
def01_06#prev_2018|41602|5809192.1012
def01_06#prev_2019|40670|5829199.3976
def01_06#prev_2020|39784|5861552.3778
def01_06#prev_2021|38844|5856665.5851
def01_07#inc_2011_2015|79888|28342798.599
def01_07#inc_2016_2021|73822|34954381.237
def01_07#prev_2015|182143|5705540.0957
def01_07#prev_2016|189582|5762508.4188
def01_07#prev_2017|195542|5782168.6104
def01_07#prev_2018|200949|5809192.1012
def01_07#prev_2019|205160|5829199.3976
def01_07#prev_2020|207650|5861552.3778
def01_07#prev_2021|209483|5856665.5851
def01_08#inc_2011_2015|49492|28342798.599
def01_08#inc_2016_2021|66975|34954381.237
def01_08#prev_2015|104848|5705540.0957
def01_08#prev_2016|113617|5762508.4188
